word_d,pos_d,words_m,poss_m,word_h,pos_h,order,rules_h,rules_am
заблагорассудиться,verb,,,,,1;0,,
оплодотворить,verb,,,,,1;0,,
умиротворить,verb,,,,,1;0,,
размокропогодить,verb,,,,,1;0,,
христарадничать,verb,,,,,1;0,,
очертяголовничать,verb,,,,,1;0,,
семизвездиться,verb,,,,,1;0,,
отсамокритиковаться,verb,,,,,1;0,,
центробежный,adj,центр,noun,бежать,verb,1;0,rule646(verb + н1(ый) -> adj),
болезнетворный,adj,болезнь,noun,творить,verb,1;0,rule646(verb + н1(ый) -> adj),
газоходный,adj,газ,noun,ходить,verb,1;0,rule646(verb + н1(ый) -> adj),
судоходный,adj,судно,noun,ходить,verb,1;0,rule646(verb + н1(ый) -> adj),
камнерезный,adj,камень,noun,резать,verb,1;0,rule646(verb + н1(ый) -> adj),
книгописный,adj,книга,noun,писать,verb,1;0,rule646(verb + н1(ый) -> adj),
рыболовный,adj,рыба,noun,ловить,verb,1;0,rule646(verb + н1(ый) -> adj),
огнестрельный,adj,огонь,noun,стрелять,verb,1;0,rule646(verb + н1(ый) -> adj),
землесосный,adj,земля,noun,сосать,verb,1;0,rule646(verb + н1(ый) -> adj),
дружелюбный,adj,друг,noun,любить,verb,1;0,rule646(verb + н1(ый) -> adj),
теплопроводный,adj,тепло,noun,проводить,verb,1;0,rule646(verb + н1(ый) -> adj),
рыборазводный,adj,рыба,noun,разводить,verb,1;0,rule646(verb + н1(ый) -> adj),
победоносный,adj,победа,noun,носить,verb,1;0,rule646(verb + н1(ый) -> adj),
водоносный,adj,вода,noun,носить,verb,1;0,rule646(verb + н1(ый) -> adj),
нефтегазоносный,adj,нефть;газ,noun;noun,носить,verb,1;2;0,rule646(verb + н1(ый) -> adj),
насекомоядный,adj,насекомое,noun,есть,verb,1;0,rule646(verb + н1(ый) -> adj),
травоядный,adj,трава,noun,есть,verb,1;0,rule646(verb + н1(ый) -> adj),
желчегонный,adj,желчь,noun,гнать,verb,1;0,rule646(verb + н1(ый) -> adj),
глистогонный,adj,глист,noun,гнать,verb,1;0,rule646(verb + н1(ый) -> adj),
гостеприимный,adj,гость,noun,принимать,verb,1;0,rule646(verb + н1(ый) -> adj),
хлебоприёмный,adj,хлеб,noun,принимать,verb,1;0,rule646(verb + н1(ый) -> adj),
судоподъёмный,adj,судно,noun,поднимать,verb,1;0,rule646(verb + н1(ый) -> adj),
сердобольный,adj,сердце,noun,болеть,verb,1;0,rule646(verb + н1(ый) -> adj),
авианосный,adj,авиа,glroot,носить,verb,1;0,rule646(verb + н1(ый) -> adj),
электропроводный,adj,электро,glroot,проводить,verb,1;0,rule646(verb + н1(ый) -> adj),
электросварный,adj,электро,glroot,варить,verb,1;0,rule646(verb + н1(ый) -> adj),
ракетоносный,adj,ракета,noun,носить,verb,1;0,rule646(verb + н1(ый) -> adj),
водобойный,adj,вода,noun,бить,verb,1;0,rule646(verb + н1(ый) -> adj),
воздухолётный,adj,воздух,noun,лететь,verb,1;0,rule646(verb + н1(ый) -> adj),
скоротечный,adj,скорый,adj,течь,verb,1;0,rule646(verb + н1(ый) -> adj),
тиховейный,adj,тихий,adj,веять,verb,1;0,rule646(verb + н1(ый) -> adj),
дальновидный,adj,дальний,adj,видеть,verb,1;0,rule646(verb + н1(ый) -> adj),
тихоходный,adj,тихий,adj,ходить,verb,1;0,rule646(verb + н1(ый) -> adj),
тошнотворный,adj,тошный,adj,творить,verb,1;0,rule646(verb + н1(ый) -> adj),
самодельный,adj,сам,pron,делать,verb,1;0,rule646(verb + н1(ый) -> adj),
сыродутный,adj,сыр,noun,дуть,verb,1;0,rule646(verb + н1(ый) -> adj),
словолитный,adj,слово,noun,лить,verb,1;0,rule646(verb + н1(ый) -> adj),
кровопролитный,adj,кровь,noun,лить,verb,1;0,rule646(verb + н1(ый) -> adj),
шерстобитный,adj,шерсть,noun,бить,verb,1;0,rule646(verb + н1(ый) -> adj),
челобитный,adj,чело,noun,бить,verb,1;0,rule646(verb + н1(ый) -> adj),
сыромятный,adj,сыр,noun,мять,verb,1;0,rule646(verb + н1(ый) -> adj),
глиномятный,adj,глина,noun,мять,verb,1;0,rule646(verb + н1(ый) -> adj),
воздуходувный,adj,воздух,noun,дуть,verb,1;0,rule646(verb + н1(ый) -> adj),
стеклодувный,adj,стекло,noun,дуть,verb,1;0,rule646(verb + н1(ый) -> adj),
пескодувный,adj,песок,noun,дуть,verb,1;0,rule646(verb + н1(ый) -> adj),
водоливный,adj,вода,noun,лить,verb,1;0,rule646(verb + н1(ый) -> adj),
сладкопевный,adj,сладкий,adj,петь,verb,1;0,rule646(verb + н1(ый) -> adj),
водогрейный,adj,вода,noun,греть,verb,1;0,rule646(verb + н1(ый) -> adj),
землеройный,adj,земля,noun,греть,verb,1;0,rule646(verb + н1(ый) -> adj),
поломойный,adj,пол,noun,мыть,verb,1;0,rule646(verb + н1(ый) -> adj),
шерстомойный,adj,шерсть,noun,мыть,verb,1;0,rule646(verb + н1(ый) -> adj),
бронебойный,adj,броня,noun,бить,verb,1;0,rule646(verb + н1(ый) -> adj),
китобойный,adj,кит,noun,бить,verb,1;0,rule646(verb + н1(ый) -> adj),
дальнобойный,adj,дальний,adj,бить,verb,1;0,rule646(verb + н1(ый) -> adj),
самодельный,adj,сам,pron,делать,verb,1;0,rule646(verb + н1(ый) -> adj),
скоротечный,adj,скорый,adj,течь,verb,1;0,rule646(verb + н1(ый) -> adj),
маломощный,adj,малый,adj,мочь,verb,1;0,rule646(verb + н1(ый) -> adj),
маломочный,adj,малый,adj,мочь,verb,1;0,rule646(verb + н1(ый) -> adj),
мимолётный,adj,мимо,adv,лететь,verb,1;0,rule646(verb + н1(ый) -> adj),
всеядный,adj,всё,pron,есть,verb,1;0,rule646(verb + н1(ый) -> adj),
самобытный,adj,сам,pron,быть,verb,1;0,rule646(verb + н1(ый) -> adj),
землечерпательный,adj,земля,noun,черпать,verb,1;0,rule652(verb + тельн(ый)/ительн(ый) -> adj),
пищеварительный,adj,пища,noun,варить,verb,1;0,rule652(verb + тельн(ый)/ительн(ый) -> adj),
кровопускательный,adj,кровь,noun,пускать,verb,1;0,rule652(verb + тельн(ый)/ительн(ый) -> adj),
благожелательный,adj,благо,noun,желать,verb,1;0,rule652(verb + тельн(ый)/ительн(ый) -> adj),
землеустроительный,adj,земля,noun,устроить,verb,1;0,rule652(verb + тельн(ый)/ительн(ый) -> adj),
берегоукрепительный,adj,берег,noun,укрепить,verb,1;0,rule652(verb + тельн(ый)/ительн(ый) -> adj),
железоделательный,adj,железо,noun,делать,verb,1;0,rule652(verb + тельн(ый)/ительн(ый) -> adj),
бумагоделательный,adj,бумага,noun,делать,verb,1;0,rule652(verb + тельн(ый)/ительн(ый) -> adj),
вагоностроительный,adj,вагон,noun,строить,verb,1;0,rule652(verb + тельн(ый)/ительн(ый) -> adj),
станкостроительный,adj,станок,noun,строить,verb,1;0,rule652(verb + тельн(ый)/ительн(ый) -> adj),
ракетостроительный,adj,ракета,noun,строить,verb,1;0,rule652(verb + тельн(ый)/ительн(ый) -> adj),
любознательный,adj,любить,verb,знать,verb,1;0,rule652(verb + тельн(ый)/ительн(ый) -> adj),
мыловаренный,adj,мыло,noun,варить,verb,1;0,rule664*(verb + енн(ый) -> adj),
клееваренный,adj,клей,noun,варить,verb,1;0,rule664*(verb + енн(ый) -> adj),
пивоваренный,adj,пиво,noun,варить,verb,1;0,rule664*(verb + енн(ый) -> adj),
винокуренный,adj,вино,noun,курить,verb,1;0,rule664*(verb + енн(ый) -> adj),
смолокуренный,adj,смола,noun,курить,verb,1;0,rule664*(verb + енн(ый) -> adj),
салотопенный,adj,сало,noun,топить,verb,1;0,rule664*(verb + енн(ый) -> adj),
жиротопенный,adj,жир,noun,топить,verb,1;0,rule664*(verb + енн(ый) -> adj),
теплолюбивый,adj,тепло,noun,любить,verb,1;0,rule661*(verb + лив(ый)/чив(ый)/ив(ый) -> adj),
человеколюбивый,adj,человек,noun,любить,verb,1;0,rule661*(verb + лив(ый)/чив(ый)/ив(ый) -> adj),
хладолюбивый,adj,хлад,noun,любить,verb,1;0,rule661*(verb + лив(ый)/чив(ый)/ив(ый) -> adj),
слезоточивый,adj,слеза,noun,точить,verb,1;0,rule661*(verb + лив(ый)/чив(ый)/ив(ый) -> adj),
медоточивый,adj,мед,noun,точить,verb,1;0,rule661*(verb + лив(ый)/чив(ый)/ив(ый) -> adj),
себялюбивый,adj,себя,pron,любить,verb,1;0,rule661*(verb + лив(ый)/чив(ый)/ив(ый) -> adj),
самолюбивый,adj,сам,pron,любить,verb,1;0,rule661*(verb + лив(ый)/чив(ый)/ив(ый) -> adj),
добролюбивый,adj,добро,noun,любить,verb,1;0,rule661*(verb + лив(ый)/чив(ый)/ив(ый) -> adj),
самозванный,adj,сам,pron,звать,verb,1;0,-нн(ый),
самонадеянный,adj,сам,pron,надеяться,verb,1;0,-нн(ый),
хлебопашеский,adj,хлеб,noun,пахать,verb,1;0,-ск(ий),
шапкозакидательский,adj,шапка,noun,закидать,verb,1;0,-ск(ий),
злорадный,adj,зло,noun,рад,adj,1;0,-н1(ый),
боеготовный,adj,бой,noun,готовый,adj,1;0,-н1(ый),
длиннополый,adj,длинный,adj,пола,noun,1;0,rule752(noun + 0(ый) -> adj),
широкополый,adj,широкий,adj,поле,noun,1;0,rule752(noun + 0(ый) -> adj),
белозубый,adj,белый,adj,зуб,noun,1;0,rule752(noun + 0(ый) -> adj),
широкоплечий,adj,широкий,adj,плечо,noun,1;0,rule752(noun + 0(ый) -> adj),
чернокожий,adj,чёрный,adj,кожа,noun,1;0,rule752(noun + 0(ый) -> adj),
круглолицый,adj,круглый,adj,лицо,noun,1;0,rule752(noun + 0(ый) -> adj),
остроребрый,adj,острый,adj,ребро,noun,1;0,rule752(noun + 0(ый) -> adj),
крупнозёрный,adj,крупный,adj,зерно,noun,1;0,rule752(noun + 0(ый) -> adj),
островерхий,adj,острый,adj,верх,noun,1;0,rule752(noun + 0(ый) -> adj),
метельчатоколосый,adj,метельчатый,adj,колос,noun,1;0,rule752(noun + 0(ый) -> adj),
разноязыкий,adj,разный,adj,язык,noun,1;0,rule752(noun + 0(ый) -> adj),
раздельнополый,adj,раздельный,adj,пол,noun,1;0,rule752(noun + 0(ый) -> adj),
длинношеий,adj,длинный,adj,шея,noun,1;0,rule752(noun + 0(ый) -> adj),
тугосисий,adj,тугой,adj,сися,noun,1;0,rule752(noun + 0(ый) -> adj),
тонкошерстый,adj,тонкий,adj,шерсть,noun,1;0,rule752(noun + 0(ый) -> adj),
чернобровый,adj,чёрный,adj,бровь,noun,1;0,rule752(noun + 0(ый) -> adj),
жестокосердый,adj,жёсткий,adj,сердце,noun,1;0,rule752(noun + 0(ый) -> adj),
милосердый,adj,милый,adj,сердце,noun,1;0,rule752(noun + 0(ый) -> adj),
разноголосый,adj,разный,adj,голос,noun,1;0,rule752(noun + 0(ый) -> adj),
медногорлый,adj,медный,adj,гора,noun,1;0,rule752(noun + 0(ый) -> adj),
зеленокосый,adj,зелёный,adj,коса,noun,1;0,rule752(noun + 0(ый) -> adj),
белоноздрый,adj,белый,adj,ноздря,noun,1;0,rule752(noun + 0(ый) -> adj),
колючепёрый,adj,колючий,adj,перо,noun,1;0,rule752(noun + 0(ый) -> adj),
синеволный,adj,синий,adj,волна,noun,1;0,rule752(noun + 0(ый) -> adj),
плоскокрыший,adj,плоский,adj,крыша,noun,1;0,rule752(noun + 0(ый) -> adj),
звонкотрубый,adj,звонкий,adj,труба,noun,1;0,rule752(noun + 0(ый) -> adj),
огнедымый,adj,огонь,noun,дым,noun,1;0,rule752(noun + 0(ый) -> adj),
горбоносый,adj,горб,noun,нос,noun,1;0,rule752(noun + 0(ый) -> adj),
козлоногий,adj,козёл,noun,нога,noun,1;0,rule752(noun + 0(ый) -> adj),
клинолистый,adj,клин,noun,лист,noun,1;0,rule752(noun + 0(ый) -> adj),
рукокрылый,adj,рука,noun,крыло,noun,1;0,rule752(noun + 0(ый) -> adj),
иглокожий,adj,игла,noun,кожа,noun,1;0,rule752(noun + 0(ый) -> adj),
листоносый,adj,лист,noun,носый,noun,1;0,rule752(noun + 0(ый) -> adj),
головоногий,adj,голова,noun,нога,noun,1;0,rule752(noun + 0(ый) -> adj),
ластоногий,adj,ласты,noun,нога,noun,1;0,rule752(noun + 0(ый) -> adj),
миллионнопалый,adj,миллион,num,палец,noun,1;0,rule752(noun + 0(ый) -> adj),
одноглазый,adj,один,num,глаз,noun,1;0,rule752(noun + 0(ый) -> adj),
двурогий,adj,два,num,рог,noun,1;0,rule752(noun + 0(ый) -> adj),
четвероногий,adj,четверо,num,нога,noun,1;0,rule752(noun + 0(ый) -> adj),
пятипалый,adj,пять,num,палец,noun,1;0,rule752(noun + 0(ый) -> adj),
стоустый,adj,сто,num,ус,noun,1;0,rule752(noun + 0(ый) -> adj),
многоголосый,adj,много,num,голос,noun,1;0,rule752(noun + 0(ый) -> adj),
двупалый,adj,два,num,палец,noun,1;0,rule752(noun + 0(ый) -> adj),
трёхпалый,adj,три,num,палец,noun,1;0,rule752(noun + 0(ый) -> adj),
тысячевёрстый,adj,тысяча,num,верста,noun,1;0,rule752(noun + 0(ый) -> adj),
лупоглазый,adj,лупить,verb,глаз,noun,1;0,rule752(noun + 0(ый) -> adj),
пучеглазый,adj,пучить,verb,глаз,noun,1;0,rule752(noun + 0(ый) -> adj),
корноухий,adj,корнать,verb,ухо,noun,1;0,rule752(noun + 0(ый) -> adj),
малоезжий,adj,мало,adv,ездить,verb,1;0,rule681(verb + 0(ий) -> adj),
прямоезжий,adj,прямо,adv,ездить,verb,1;0,rule681(verb + 0(ий) -> adj),
дурноезжий,adj,дурно,adv,ездить,verb,1;0,rule681(verb + 0(ий) -> adj),
мимоезжий,adj,мимо,adv,ездить,verb,1;0,rule681(verb + 0(ий) -> adj),
мимохожий,adj,мимо,adv,ходить,verb,1;0,rule681(verb + 0(ий) -> adj),
умалишённый,adj,ума,noun_GEN,лишённый,part,1;0,,
сумасшедший,adj,с;ума,prep;noun_GEN,сшедший,part,1;2;0,,
азотфиксирующий,adj,азот,noun_ACC,фиксирующий,part,1;0,,
фосфорсодержащий,adj,фосфор,noun_ACC,содержащий,part,1;0,,
мелсодержащий,adj,мел,noun_ACC,содержащий,part,1;0,,
внебосмотрящий,adj,в;небо,prep;noun_ACC,смотрящий,part,1;0,,
вперёдсмотрящий,adj,вперёд,adv,смотрящий,part,1;0,,
быстротекущий,adj,быстро,adv,текущий,part,1;0,,
вышестоящий,adj,выше,comp,стоящий,part,1;0,,
дорогостоящий,adj,дорого,adv,стоящий,part,1;0,,
долгоиграющий,adj,долго,adv,играющий,part,1;0,,
многообещающий,adj,много,adv,обещающий,part,1;0,,
скоропортящийся,adj,скоро,adv,портящийся,part,1;0,,
низкооплачиваемый,adj,низко,adv,оплачиваемый,part,1;0,,
глубокоуважаемый,adj,глубоко,adv,уважаемый,part,1;0,,
быстроразвивающийся,adj,быстро,adv,развивающийся,part,1;0,,
быстрозамороженный,adj,быстро,adv,замороженный,part,1;0,,
густонаселенный,adj,густо,adv,населенный,part,1;0,,
постояннодействующий,adj,постоянно,adv,действующий,part,1;0,,
слаборазвитый,adj,слабо,adv,развитый,part,1;0,,
близлежащий,adj,близ,adv,лежащий,part,1;0,,
вездепроходящий,adj,везде,adv,проходящий,part,1;0,,
всевозрастающий,adj,всё,adv,возрастающий,part,1;0,,
всевидящий,adj,всё,pron,видящий,part,1;0,,
всепобеждающий,adj,всё,pron,побеждающий,part,1;0,,
всеобъемлющий,adj,всё,pron,объемлющий,part,1;0,,
малозначащий,adj,мало,adv,значащий,part,1;0,,
малоисследованный,adj,мало,adv,исследованный,part,1;0,,
всепоглощающий,adj,всё,pron,поглощающий,part,1;0,,
вышеуказанный,adj,выше,comp,указанный,part,1;0,,
нижеследующий,adj,ниже,comp,следующий,part,1;0,,
вечнозелёный,adj,вечно,adv,зелёный,adj,1;0,,
вечномёрзлый,adj,вечно,adv,мёрзлый,adj,1;0,,
узколичный,adj,узко,adv,личный,adj,1;0,,
тяжелораненый,adj,тяжело,adv,раненый,adj,1;0,,
труднодоступный,adj,трудно,adv,доступный,adj,1;0,,
трудновыполнимый,adj,трудно,adv,выполнимый,adj,1;0,,
остродефицитный,adj,остро,adv,дефицитный,adj,1;0,,
малознакомый,adj,мало,adv,знакомый,adj,1;0,,
малоподвижный,adj,мало,adv,подвижный,adj,1;0,,
высокопрочный,adj,высоко,adv,прочный,adj,1;0,,
высокоточный,adj,высоко,adv,точный,adj,1;0,,
глубоконациональный,adj,глубоко,adv,национальный,adj,1;0,,
потусторонний,adj,,,,,,,
никчемный,adj,,,,,,,
никчемушный,adj,,,,,,,
сногсшибательный,adj,,,,,,,
всамделишный,adj,,,,,,,
сиюминутный,adj,,,,,,,
таксебешный,adj,,,,,,,
выньдаположный,adj,,,,,,,
повсеместный,adj,,,,,,,
повседневный,adj,,,,,,,
зигзагообразный,adj,зигзаг,noun,-образный,suffixoid,1;0,,
сигарообразный,adj,сигара,noun,-образный,suffixoid,1;0,,
воронкообразный,adj,воронка,noun,-образный,suffixoid,1;0,,
наукообразный,adj,наука,noun,-образный,suffixoid,1;0,,
человекообразный,adj,человек,noun,-образный,suffixoid,1;0,,
котообразный,adj,кот,noun,-образный,suffixoid,1;0,,
бутылкообразный,adj,бутылка,noun,-образный,suffixoid,1;0,,
разнообразный,adj,разный,adj,-образный,suffixoid,1;0,,
единообразный,adj,единый,adj,-образный,suffixoid,1;0,,
старообразный,adj,старый,adj,-образный,suffixoid,1;0,,
многообразный,adj,много,num,-образный,suffixoid,1;0,,
одновалентный,adj,один,num,-валентный,suffixoid,1;0,,
трёхвалентный,adj,три,num,-валентный,suffixoid,1;0,,
поливалентный,adj,поли-,glroot,-валентный,suffixoid,1;0,,
фотогеничный,adj,фото-,glroot,-геничный,suffixoid,1;0,,
телегеничный,adj,теле-,glroot,-геничный,suffixoid,1;0,,
вулканогенный,adj,вулкан,noun,-генный,suffixoid,1;0,,
радиогенный,adj,радио-,glroot,-генный,suffixoid,1;0,,
биогенный,adj,био-,glroot,-генный,suffixoid,1;0,,
психогенный,adj,психо-,glroot,-генный,suffixoid,1;0,,
стопятидесятый,adj,,,,,,,
двадцать шестой,adj,,,,,,,
триста девяносто третий,adj,,,,,,,
тысяча двести сороковой,adj,,,,,,,
трехмиллионный,adj,,,,,,,
двухсотпятидесятитысячный,adj,,,,,,,
инакомыслящий,adj,иначе,adv,мыслящий,part,1;0,,
инакочувствующий,adj,иначе,adv,чувствующий,part,1;0,,
инакодействующий,adj,иначе,adv,действующий,part,1;0,,
инакопишущий,adj,иначе,adv,пишущий,part,1;0,,
одноламповый,adj,один,num,ламповый,adj,1;0,,
двууглекислый,adj,два,num,углекислый,adj,1;0,,
двуспальный,adj,два,num,спальный,adj,1;0,,
трёхстворчатый,adj,три,num,створчатый,adj,1;0,,
трёхбромистый,adj,три,num,бромистый,adj,1;0,,
пятикомнатный,adj,пять,num,комнатный,adj,1;0,,
стопроцентный,adj,сто,num,процентный,adj,1;0,,
полуторасменный,adj,полтора,num,сменный,adj,1;0,,
пятнадцатиметровый,adj,пятнадцать,num,метровый,adj,1;0,,
многосерийный,adj,много,num,серийный,adj,1;0,,
многоступенчатый,adj,много,num,ступенчатый,adj,1;0,,
многосложный,adj,много,num,сложный,adj,1;0,,
многозначительный,adj,много,num,значительный,adj,1;0,,
многогорький,adj,много,num,горький,adj,1;0,,
многоопытный,adj,много,num,опытный,adj,1;0,,
многосемейный,adj,много,num,семейный,adj,1;0,,
многочисленный,adj,много,num,численный,adj,1;0,,
многотиражный,adj,много,num,тиражный,adj,1;0,,
многоформатный,adj,много,num,форматный,adj,1;0,,
многоканальный,adj,много,num,канальный,adj,1;0,,
малооблачный,adj,мало,num,облачный,adj,1;0,,
малокадровый,adj,мало,num,кадровый,adj,1;0,,
полушерстяной,adj,половина,noun,шерстяной,adj,1;0,,
полулегальный,adj,половина,noun,легальный,adj,1;0,,
полуосвещенный,adj,половина,noun,освещенный,part,1;0,,
полувьющийся,adj,половина,noun,вьющийся,part,1;0,,
трехсекционный,adj,три,num,секционный,adj,1;0,,
серосодержащий,adj,сера,noun,содержащий,part,1;0,,
хлопкосеющий,adj,хлопок,noun,сеющий,part,1;0,,
металлорежущий,adj,металл,noun,режущий,part,1;0,,
угледобывающий,adj,уголь,noun,добывающий,part,1;0,,
почвообрабатывающий,adj,почва,noun,обрабатывающий,part,1;0,,
душераздирающий,adj,душа,noun,раздирающий,part,1;0,,
водонасыщенный,adj,вода,noun,насыщенный,part,1;0,,
газообеспеченный,adj,газ,noun,обеспеченный,part,1;0,,
счётно-решающий,adj,счётный,adj,решающий,part,1;0,,
приёмно-передающий,adj,приёмный,adj,передающий,part,1;0,,
мертворожденный,adj,мёртвый,adj,рождённый,part,1;0,,
новонайденный,adj,новый,adj,найденный,part,1;0,,
новоприбывший,adj,новый,adj,прибывший,part,1;0,,
новоприезжий,adj,новый,adj,приезжий,adj,1;0,,
новоявившийся,adj,новый,adj,явившийся,part,1;0,,
свежемороженый,adj,свежий,adj,мороженый,part,1;0,,
свежевыбритый,adj,свежий,adj,выбритый,part,1;0,,
свежесрубленный,adj,свежий,adj,срубленный,part,1;0,,
общепринятый,adj,общий,adj,принятый,part,1;0,,
стотысячесабельный,adj,сто тысяч,num,сабельный,adj,1;0,,
бело-розовый,adj,розовый,adj,розовый,adj,1;0,,
слепоглухонемой,adj,слепой;глухой,adj;adj,немой,adj,1;0,,
торгово-промышленный,adj,торговый,adj,промышленный,adj,1;0,,
советско-монгольский,adj,советский,adj,монгольский,adj,1;0,,
плодово-ягодный,adj,плодовый,adj,ягодный,adj,1;0,,
сушильно-очистительный,adj,сушильный,adj,очистительный,adj,1;0,,
поисково-спасательный,adj,поисковый,adj,спасательный,adj,1;0,,
научно-технический,adj,научный,adj,технический,adj,1;0,,
медицинско-биологический,adj,медицинский,adj,биологический,adj,1;0,,
сербскохорватский,adj,сербский,adj,хорватский,adj,1;0,,
венгерско-советский,adj,венгерский,adj,советский,adj,1;0,,
агитационно-массовый,adj,агитационный,adj,массовый,adj,1;0,,
общеобязательный,adj,общий,adj,обязательный,adj,1;0,,
низкокачественный,adj,низкий,adj,качественный,adj,1;0,,
круглогодовой,adj,круглой,adj,годовой,adj,1;0,,
круглогодичный,adj,круглый,adj,годичный,adj,1;0,,
легкоатлетический,adj,легкий,adj,атлетический,adj,1;0,,
