inf per1 per3 pred right why
скликать скликаю скликает 1 6 pymorphy
ужать ужму ужмёт 14м 14н pymorphy
заполоскать заполоскаю заполоскает 6 1 ?
подглодать подглодаю подглодает 1 6 pymorphy
дополоскаться дополоскаюсь дополоскается 6 1 ?
нарезать нарезаю нарезает 1 6 pymorphy
оглодать оглодаю оглодает 1 6 pymorphy
отметать отметаю отметает 1 6 pymorphy
подрезать подрезаю подрезает 1 6 pymorphy
наклепать наклепаю наклепает 1 6 pymorphy
тыкать тыкаю тыкает 1 6 pymorphy
двигаться двигаюсь двигается 1 6 pymorphy
навязать навязаю навязает 1 6 pymorphy
урезать урезаю урезает 1 6 pymorphy
прирезать прирезаю прирезает 1 6 pymorphy
отрезать отрезаю отрезает 1 6 pymorphy
общипать общипаю общипает 1 6 pymorphy
проблистать проблещу проблещет 6 1 pymorphy
нарезаться нарежусь нарежется 6 1 pymorphy
поплескаться поплескаюсь поплескается 1 6 pymorphy
заполоскаться заполоскаюсь заполоскается 6 1 ?
побрызгаться побрызгаюсь побрызгается 1 6 pymorphy
спеть спою споёт 12петь 1 pymorphy
замурлыкать замурлыкаю замурлыкает 1 6 pymorphy
отжать отожму отожмёт 14м 14н pymorphy
отмахать отмахаю отмахает 1 6 pymorphy
рыскать рыскаю рыскает 1 6 pymorphy
взметать взмечу взмечет 6 1 pymorphy
увязать увязаю увязает 1 6 pymorphy
поглодать поглодаю поглодает 1 6 pymorphy
выплескаться выплескаюсь выплескается 1 6 pymorphy
дощипать дощипаю дощипает 1 6 pymorphy
присыпать присыплю присыпет 1 6 pymorphy
пощипать пощипаю пощипает 1 6 pymorphy
изрыскать изрыскаю изрыскает 1 6 pymorphy
капать капаю капает 1 6 pymorphy
обрезать обрезаю обрезает 1 6 pymorphy
разметать разметаю разметает 1 6 pymorphy
махаться махаюсь махается 1 6 pymorphy
возблистать возблистаю возблистает 1 6 pymorphy
высыпаться высыпаюсь высыпается 1 6 pymorphy
выметать вымечу вымечет 6 1 pymorphy
нащепать нащепаю нащепает 6 1 ?
засыпаться засыпаюсь засыпается 1 6 pymorphy
промурлыкать промурлыкаю промурлыкает 1 6 pymorphy
плескать плескаю плескает 1 6 pymorphy
пощипать пощипаю пощипает 1 6 pymorphy
покрапать покрапаю покрапает 1 6 pymorphy
брызгать брызгаю брызгает 1 6 pymorphy
закликать закликаю закликает 1 6 pymorphy
выполоскаться выполоскаюсь выполоскается 6 1 ?
крапать крапаю крапает 1 6 pymorphy
переглодать переглодаю переглодает 1 6 pymorphy
ополоскать ополоскаю ополоскает 1 6 pymorphy
пощепать пощепаю пощепает 6 1 ?
обжать обожму обожмёт 14м 14н pymorphy
расколыхать расколыхаю расколыхает 1 6 pymorphy
прозреть прозрю прозрит 5 1 pymorphy
сфоткать сфотку сфоткёт 6 1 pymorphy
мурлыкать мурлыкаю мурлыкает 1 6 pymorphy
похныкать похныкаю похныкает 1 6 pymorphy
улечься улягусь уляжется 8г 8к dataset
обрыскать обрыскаю обрыскает 1 6 pymorphy
изглодать изглодаю изглодает 1 6 pymorphy
завязать завязаю завязает 1 6 pymorphy
прорезаться прорежусь прорежется 6 1 pymorphy
разболеться разболеюсь разболеется 1 5 pymorphy
наплескать наплескаю наплескает 1 6 pymorphy
прокурлыкать прокурлыкаю прокурлыкает 1 6 pymorphy
отполоскать отполоскаю отполоскает 1 6 pymorphy
просыпаться просыпаюсь просыпается 1 6 pymorphy
проглодать проглодаю проглодает 1 6 pymorphy
рассыпать рассыплю рассыпет 1 6 ?
захныкать захныкаю захныкает 1 6 pymorphy
наполоскать наполоскаю наполоскает 6 1 ?
поглодать поглодаю поглодает 1 6 pymorphy
хныкать хныкаю хныкает 1 6 pymorphy
наболеть наболею наболеет 1 5 pymorphy
надрезать надрезаю надрезает 1 6 pymorphy
самовозгораться самовозгораюсь самовозгорается 2 1 ?
заболеть заболею заболеет 1 5 pymorphy
запестреть запестрею запестреет 1 5 pymorphy
пополоскать пополоскаю пополоскает 1 6 pymorphy
выметать вымечу вымечет 6 1 pymorphy
дожать дожну дожнёт 14м 14н ?
расплескаться расплескаюсь расплескается 1 6 pymorphy
отмахаться отмахаюсь отмахается 1 6 pymorphy
сжать сожму сожмёт 14м 14н pymorphy
взрезать взрезаю взрезает 1 6 pymorphy
приметать приметаю приметает 1 6 pymorphy
прополоскать прополоскаю прополоскает 1 6 pymorphy
долить долью дольёт 11 4 pymorphy
просветить просвечу просветит 4 4щ pymorphy
побрызгать побрызгаю побрызгает 1 6 pymorphy
отсыпать отсыплю отсыпет 6 1 pymorphy
располоскаться располоскаюсь располоскается 6 1 ?
отплескать отплескаю отплескает 1 6 pymorphy
скрести скрещу скрестит 4щ 7б pymorphy
перещипать перещипаю перещипает 1 6 pymorphy
отблистать отблещу отблещет 6 1 pymorphy
высыпать высыплю высыпет 6 1 pymorphy
отболеть отболею отболеет 1 5 pymorphy
прометать прометаю прометает 1 6 pymorphy
накликать накликаю накликает 1 6 pymorphy
ввязать ввязаю ввязает 1 6 pymorphy
перерезать перерезаю перерезает 1 6 pymorphy
подщепать подщепаю подщепает 1 6 pymorphy
отполоскаться отполоскаюсь отполоскается 6 1 ?
заблистать заблещу заблещет 6 1 pymorphy
кликать кличу кличет 6 1 pymorphy
зарезать зарезаю зарезает 1 6 pymorphy
помурлыкать помурлыкаю помурлыкает 1 6 pymorphy
сглодать сглодаю сглодает 1 6 pymorphy
икаться   6 1 pymorphy
щипать щипаю щипает 1 6 pymorphy
выместись вымещусь выместится 4 7т pymorphy
переметать переметаю переметает 1 6 pymorphy
изглодать изглодаю изглодает 1 6 pymorphy
выплескать выплескаю выплескает 1 6 pymorphy
изглодать изглодаю изглодает 1 6 pymorphy
всыпать всыплю всыпет 6 1 pymorphy
выкликать выкликаю выкликает 1 6 pymorphy
поблистать поблещу поблещет 6 1 pymorphy
порыскать порыскаю порыскает 1 6 pymorphy
сглодать сглодаю сглодает 1 6 pymorphy
исщипать исщипаю исщипает 1 6 pymorphy
врезаться врежусь врежется 6 1 pymorphy
переплескать переплескаю переплескает 1 6 pymorphy
терпеться   9 5 pymorphy
костюмироваться костюмироваюсь костюмировается 1 2 pymorphy
надлежать   1 5 pymorphy
отглодать отглодаю отглодает 1 6 pymorphy
наполоскаться наполоскаюсь наполоскается 6 1 ?
нащипать нащипаю нащипает 1 6 pymorphy
обметать обметаю обметает 1 6 pymorphy
всколыхать всколыхаю всколыхает 1 6 pymorphy
расщипать расщипаю расщипает 1 6 pymorphy
выжать выжму выжмет 6 14н ?
насыпать насыплю насыпет 6 1 pymorphy
заплескать заплескаю заплескает 1 6 pymorphy
просветиться просвещусь просветится 4щ 4 pymorphy
пережать пережну пережнёт 14м 14н ?
глодать глодаю глодает 1 6 pymorphy
выщипать выщипаю выщипает 1 6 pymorphy
жать жну жнёт 14м 14н ?
усыпать усыплю усыпет 6 1 pymorphy
ионизироваться ионизироваюсь ионизировается 1 2 pymorphy
наволакивать   13 1 pymorphy
живописать живописую живописует 6 1 ?
зреть зрею зреет 1 5 pymorphy
выжать выжму выжмет 6 14м ?
подсыпать подсыплю подсыпет 1 6 pymorphy
перепроизвести перепроизведу перепроизведёт 7з 7д ?
размахаться размахаюсь размахается 1 6 pymorphy
щипаться щипаюсь щипается 1 6 pymorphy
фоткать фотку фоткёт 6 1 pymorphy
закрапать закрапаю закрапает 1 6 pymorphy
нажать нажму нажмёт 14м 14н pymorphy
сыпать сыпаю сыпает 1 6 pymorphy
засыпать засыплю засыпет 6 1 pymorphy
алкать алкаю алкает 1 6 pymorphy
петь пою поёт 1 12петь pymorphy
посыпаться посыпаюсь посыпается 1 6 pymorphy
закурлыкать закурлыкаю закурлыкает 6 1 pymorphy
лежаться   1 5 pymorphy
перебрести перебреду перебредет 7з 7д ?
пестреть пестрею пестреет 1 5 pymorphy
проболеть проболею проболеет 1 5 pymorphy
переполоскать переполоскаю переполоскает 1 6 pymorphy
общипаться общипаюсь общипается 1 6 pymorphy
обглодать обглодаю обглодает 1 6 pymorphy
насыпаться насыпаюсь насыпается 1 6 pymorphy
сощипать сощипаю сощипает 1 6 pymorphy
поколыхать поколыхаю поколыхает 1 6 pymorphy
посыпать посыплю посыпет 6 1 pymorphy
наметать наметаю наметает 1 6 pymorphy
поджать подожму подожмёт 14м 14н pymorphy
просыпать просыплю просыпет 1 6 ?
докликаться докликаюсь докликается 1 6 pymorphy
экзаменоваться экзаменоваюсь экзаменовается 1 2 pymorphy
наволакивать   13 1 pymorphy
спаться   6 5 pymorphy
рассвести   7д 7т pymorphy
недожать недожну недожнёт 14м 14н pymorphy
прокапать прокапаю прокапает 1 6 pymorphy
колыхаться колыхаюсь колыхается 1 6 pymorphy
влечь влеку влечёт 8к 8г dataset
пометать пометаю пометает 1 6 pymorphy
клепать клепаю клепает 1 6 pymorphy
засыпать засыплю засыпет 6 1 pymorphy
дорезать дорезаю дорезает 1 6 pymorphy
уметать уметаю уметает 1 6 pymorphy
врезать врезаю врезает 1 6 pymorphy
дышаться   1 5 pymorphy
модифицироваться модифицироваюсь модифицировается 1 2 pymorphy
скрестись скрещусь скрестится 4 7б pymorphy
отщепать отщепаю отщепает 1 6 pymorphy
наглодаться наглодаюсь наглодается 1 6 pymorphy
предпринять предприму предпримет 14им 14*м pymorphy
