,inf,per1,per3,pred,right,equals
48,отщемлять,отщемляю,отщемляет,1,1,True
49,прорезываться,прорезываюсь,прорезывается,1,1,True
50,дотачивать,дотачиваю,дотачивает,1,1,True
51,свинтиться,свинчусь,свинтится,4,4,True
52,сгнить,сгнию,сгниёт,12и,12и,True
53,утихать,утихаю,утихает,1,1,True
54,вытапливать,вытапливаю,вытапливает,1,1,True
55,попороть,попорю,попорет,10ор,10ор,True
56,доезжать,доезжаю,доезжает,1,1,True
57,заикаться,заикаюсь,заикается,1,1,True
58,заворочать,заворочаю,заворочает,1,1,True
59,накипятиться,накипячусь,накипятится,4,4,True
60,приселить,приселю,приселит,4,4,True
61,сгодиться,сгожусь,сгодится,4,4,True
62,обшнырить,обшнырю,обшнырит,4,4,True
63,подбежать,подбегу,подбежит,5,5,True
64,перехихикнуться,перехихикнусь,перехихикнется,3,3,True
65,перепрятать,перепрячу,перепрячет,6,6,True
66,поддирать,поддираю,поддирает,1,1,True
67,оскабливать,оскабливаю,оскабливает,1,1,True
68,недоглядеть,недогляжу,недоглядит,5,5,True
69,выпревать,выпреваю,выпревает,1,1,True
70,подряхлеть,подряхлею,подряхлеет,1,1,True
71,вовлечься,вовлекусь,вовлечётся,8к,8к,True
72,насорить,насорю,насорит,4,4,True
73,обровнять,обровняю,обровняет,1,1,True
74,отцвести,отцвету,отцветёт,7т,7т,True
75,разворачивать,разворачиваю,разворачивает,1,1,True
76,наполосовать,наполосую,наполосует,2,2,True
77,замириться,замирюсь,замирится,4,4,True
78,прореагировать,прореагирую,прореагирует,2,2,True
79,взволновать,взволную,взволнует,2,2,True
80,сфуговать,сфугую,сфугует,2,2,True
81,надвигаться,надвигаюсь,надвигается,1,1,True
82,протопать,протопаю,протопает,1,1,True
83,распрягаться,распрягаюсь,распрягается,1,1,True
84,предугадываться,предугадываюсь,предугадывается,1,1,True
85,разозлиться,разозлюсь,разозлится,4,4,True
86,продеваться,продеваюсь,продевается,1,1,True
87,усмехаться,усмехаюсь,усмехается,1,1,True
88,спечься,спекусь,спечётся,8к,8к,True
89,отринуть,отрину,отринет,3,3,True
90,ухолить,ухолю,ухолит,4,4,True
91,надрать,надеру,надерёт,6,6,True
92,забуксовать,забуксую,забуксует,2,2,True
93,стопориться,стопорюсь,стопорится,4,4,True
94,обмишуриться,обмишурюсь,обмишурится,4,4,True
95,распечатывать,распечатываю,распечатывает,1,1,True
96,трафить,трафлю,трафит,4,4,True
97,позубрить,позубрю,позубрит,4,4,True
98,смолить,смолю,смолит,4,4,True
99,углубиться,углублюсь,углубится,4,4,True
100,калевать,калюю,калюет,2,2,True
101,кликушествовать,кликушествую,кликушествует,2,2,True
102,расклеиваться,расклеиваюсь,расклеивается,1,1,True
103,помотать,помотаю,помотает,1,1,True
104,преобразиться,преображусь,преобразится,4,4,True
105,суммироваться,суммируюсь,суммируется,2,2,True
106,рыбачить,рыбачу,рыбачит,4,4,True
107,проквашивать,проквашиваю,проквашивает,1,1,True
108,подваривать,подвариваю,подваривает,1,1,True
109,угреваться,угреваюсь,угревается,1,1,True
110,распутываться,распутываюсь,распутывается,1,1,True
111,выпархивать,выпархиваю,выпархивает,1,1,True
112,догружаться,догружаюсь,догружается,1,1,True
113,загородить,загорожу,загородит,4,4,True
114,досматривать,досматриваю,досматривает,1,1,True
115,прокаливаться,прокаливаюсь,прокаливается,1,1,True
116,омыть,омою,омоет,12ы,12ы,True
117,учреждаться,учреждаюсь,учреждается,1,1,True
118,обессилить,обессилю,обессилит,4,4,True
119,справить,справлю,справит,4,4,True
120,вшибать,вшибаю,вшибает,1,1,True
121,посрамиться,посрамлюсь,посрамится,4,4,True
122,измещаниться,измещанюсь,измещанится,4,4,True
123,перецепить,перецеплю,перецепит,4,4,True
124,завинчиваться,завинчиваюсь,завинчивается,1,1,True
125,страховать,страхую,страхует,2,2,True
126,грезиться,грежусь,грезится,4,4,True
127,перерубить,перерублю,перерубит,4,4,True
128,набронзировать,набронзирую,набронзирует,2,2,True
129,исписать,испишу,испишет,6,6,True
130,истопить,истоплю,истопит,4,4,True
131,стараться,стараюсь,старается,1,1,True
132,предостеречь,предостерегу,предостережёт,8г,8г,True
133,суммировать,суммирую,суммирует,2,2,True
134,согреваться,согреваюсь,согревается,1,1,True
135,тупиться,туплюсь,тупится,4,4,True
136,вытекать,вытекаю,вытекает,1,1,True
137,протекать,протекаю,протекает,1,1,True
138,усолить,усолю,усолит,4,4,True
139,подтасовать,подтасую,подтасует,2,2,True
140,позволяться,позволяюсь,позволяется,1,1,True
141,ухватываться,ухватываюсь,ухватывается,1,1,True
142,синкопировать,синкопирую,синкопирует,2,2,True
143,сковырнуться,сковырнусь,сковырнётся,3,3,True
144,комплектоваться,комплектуюсь,комплектуется,2,2,True
145,побуждать,побуждаю,побуждает,1,1,True
146,смаивать,смаиваю,смаивает,1,1,True
147,разговорить,разговорю,разговорит,4,4,True
148,пересочинять,пересочиняю,пересочиняет,1,1,True
149,нагрунтовать,нагрунтую,нагрунтует,2,2,True
150,журиться,журюсь,журится,4,4,True
151,дипломировать,дипломирую,дипломирует,2,2,True
152,подстилать,подстилаю,подстилает,1,1,True
153,засеребрить,засеребрю,засеребрит,4,4,True
154,созывать,созываю,созывает,1,1,True
155,подкалывать,подкалываю,подкалывает,1,1,True
156,изменить,изменю,изменит,4,4,True
157,нажилиться,нажилюсь,нажилится,4,4,True
158,улететь,улечу,улетит,5,5,True
159,зашабашить,зашабашу,зашабашит,4,4,True
160,увиливать,увиливаю,увиливает,1,1,True
161,испаскудить,испаскужу,испаскудит,4,4,True
162,отводить,отвожу,отводит,4,4,True
163,народить,нарожу,народит,4,4,True
164,вылупляться,вылупляюсь,вылупляется,1,1,True
165,задрожать,задрожу,задрожит,5,5,True
166,потолочь,потолку,потолчёт,8к,8к,True
167,выглаживать,выглаживаю,выглаживает,1,1,True
168,намариновывать,намариновываю,намариновывает,1,1,True
169,перепруживать,перепруживаю,перепруживает,1,1,True
170,дебетовать,дебетую,дебетует,2,2,True
171,подрубать,подрубаю,подрубает,1,1,True
172,уштопывать,уштопываю,уштопывает,1,1,True
173,усовершенствовать,усовершенствую,усовершенствует,2,2,True
174,пробуравить,пробуравлю,пробуравит,4,4,True
175,скашиваться,скашиваюсь,скашивается,1,1,True
176,обмораживать,обмораживаю,обмораживает,1,1,True
177,большевизировать,большевизирую,большевизирует,2,2,True
178,подгородить,подгорожу,подгородит,4,4,True
179,вымести,вымету,выметет,4щ,7т,False
180,скомкивать,скомкиваю,скомкивает,1,1,True
181,отжаться,отожмусь,отожмётся,14м,14м,True
182,взращивать,взращиваю,взращивает,1,1,True
183,напенить,напеню,напенит,4,4,True
184,залечиваться,залечиваюсь,залечивается,1,1,True
185,рознить,розню,рознит,4,4,True
186,вывяливать,вывяливаю,вывяливает,1,1,True
187,вздыбливать,вздыбливаю,вздыбливает,1,1,True
188,подтаскать,подтаскаю,подтаскает,1,1,True
189,обвораживать,обвораживаю,обвораживает,1,1,True
190,коллективизировать,коллективизирую,коллективизирует,2,2,True
191,столбенеть,столбенею,столбенеет,1,1,True
192,чокаться,чокаюсь,чокается,1,1,True
193,покачаться,покачаюсь,покачается,1,1,True
194,обстряпать,обстряпаю,обстряпает,1,1,True
195,позубоскалить,позубоскалю,позубоскалит,4,4,True
196,перевьючить,перевьючу,перевьючит,4,4,True
197,бременить,бременю,бременит,4,4,True
198,всхохлатить,всхохлачу,всхохлатит,4,4,True
199,собачиться,собачусь,собачится,4,4,True
200,вселить,вселю,вселит,4,4,True
201,взлезть,взлезу,взлезет,7з,7з,True
202,поплакать,поплачу,поплачет,6,6,True
203,разлюбить,разлюблю,разлюбит,4,4,True
204,притуманиваться,притуманиваюсь,притуманивается,1,1,True
205,измусливаться,измусливаюсь,измусливается,1,1,True
206,помахать,помашу,помашет,1,6,False
207,обстругивать,обстругиваю,обстругивает,1,1,True
208,выкувырнуть,выкувырну,выкувырнет,3,3,True
209,сумасбродствовать,сумасбродствую,сумасбродствует,2,2,True
210,печалиться,печалюсь,печалится,4,4,True
211,увековечиться,увековечусь,увековечится,4,4,True
212,парашютировать,парашютирую,парашютирует,2,2,True
213,подурачить,подурачу,подурачит,4,4,True
214,отштамповывать,отштамповываю,отштамповывает,1,1,True
215,сопоставить,сопоставлю,сопоставит,4,4,True
216,разворчаться,разворчусь,разворчится,5,5,True
217,напялиться,напялюсь,напялится,4,4,True
218,пресытить,пресыщу,пресытит,4щ,4щ,True
219,мириться,мирюсь,мирится,4,4,True
220,сконструировать,сконструирую,сконструирует,2,2,True
221,отмазывать,отмазываю,отмазывает,1,1,True
222,тикать,тикаю,тикает,1,1,True
223,утешиться,утешусь,утешится,4,4,True
224,перерывать,перерываю,перерывает,1,1,True
225,потаптывать,потаптываю,потаптывает,1,1,True
226,накосить,накошу,накосит,4,4,True
227,выписаться,выпишусь,выпишется,6,6,True
228,заглядывать,заглядываю,заглядывает,1,1,True
229,прокламировать,прокламирую,прокламирует,2,2,True
230,нашептать,нашепчу,нашепчет,6,6,True
231,пинаться,пинаюсь,пинается,1,1,True
232,перемогать,перемогаю,перемогает,1,1,True
233,расписаться,распишусь,распишется,6,6,True
234,повязывать,повязываю,повязывает,1,1,True
235,наваляться,наваляюсь,наваляется,1,1,True
236,повисать,повисаю,повисает,1,1,True
237,раскалываться,раскалываюсь,раскалывается,1,1,True
238,надписать,надпишу,надпишет,6,6,True
239,срамиться,срамлюсь,срамится,4,4,True
240,читаться,читаюсь,читается,1,1,True
241,эволюционировать,эволюционирую,эволюционирует,2,2,True
242,пораниться,поранюсь,поранится,4,4,True
243,цацкаться,цацкаюсь,цацкается,1,1,True
244,закругляться,закругляюсь,закругляется,1,1,True
245,приучать,приучаю,приучает,1,1,True
246,перебодаться,перебодаюсь,перебодается,1,1,True
247,электрифицироваться,электрифицируюсь,электрифицируется,2,2,True
248,разжижаться,разжижаюсь,разжижается,1,1,True
249,вдвинуться,вдвинусь,вдвинется,3,3,True
250,оскопить,оскоплю,оскопит,4,4,True
251,глотать,глотаю,глотает,1,1,True
252,подуть,подую,подует,12у,12у,True
253,умотать,умотаю,умотает,1,1,True
254,отсоветовать,отсоветую,отсоветует,2,2,True
255,оболгать,оболгу,оболжёт,6,6,True
256,обнашивать,обнашиваю,обнашивает,1,1,True
257,оплавлять,оплавляю,оплавляет,1,1,True
258,подстегать,подстегаю,подстегает,1,1,True
259,расшифровывать,расшифровываю,расшифровывает,1,1,True
260,подвязываться,подвязываюсь,подвязывается,1,1,True
261,ламинировать,ламинирую,ламинирует,2,2,True
262,выиграть,выиграю,выиграет,1,1,True
263,отлизать,отлижу,отлижет,6,6,True
264,разжевать,разжую,разжуёт,2,2,True
265,приложить,приложу,приложит,4,4,True
266,лазать,лазаю,лазает,1,1,True
267,переколоться,переколюсь,переколется,10ол,10ол,True
268,забухать,забухаю,забухает,1,1,True
269,нагнаиваться,нагнаиваюсь,нагнаивается,1,1,True
270,сервировать,сервирую,сервирует,2,2,True
271,перестрочить,перестрочу,перестрочит,4,4,True
272,комиковать,комикую,комикует,2,2,True
273,скрутиться,скручусь,скрутится,4,4,True
274,постлать,постелю,постелет,6,6,True
275,утереться,утрусь,утрётся,9,9,True
276,взмылить,взмылю,взмылит,4,4,True
277,простегать,простегаю,простегает,1,1,True
278,оплакать,оплачу,оплачет,6,6,True
279,волочь,волоку,волочёт,8к,8к,True
280,обходить,обхожу,обходит,4,4,True
281,заклать,,,6,6,True
282,засолить,засолю,засолит,4,4,True
283,перекрикивать,перекрикиваю,перекрикивает,1,1,True
284,торчать,торчу,торчит,5,5,True
285,спасти,спасу,спасёт,7с,7с,True
286,макнуть,макну,макнёт,3,3,True
287,выниматься,вынимаюсь,вынимается,1,1,True
288,изматывать,изматываю,изматывает,1,1,True
289,перебинтовывать,перебинтовываю,перебинтовывает,1,1,True
290,помышлять,помышляю,помышляет,1,1,True
291,плескаться,плещусь,плещется,1,6,False
292,додавать,додаю,додаёт,13,13,True
293,менструировать,менструирую,менструирует,2,2,True
294,наматываться,наматываюсь,наматывается,1,1,True
295,честь,чту,чтёт,7т,7т,True
296,укапаться,укапаюсь,укапается,1,1,True
297,сокрыться,сокроюсь,сокроется,12ы,12ы,True
298,оживотворять,оживотворяю,оживотворяет,1,1,True
299,оккупировать,оккупирую,оккупирует,2,2,True
300,загуливать,загуливаю,загуливает,1,1,True
301,сметать,сметаю,сметает,1,1,True
302,ссаживать,ссаживаю,ссаживает,1,1,True
303,окровенить,окровеню,окровенит,4,4,True
304,проветриться,проветрюсь,проветрится,4,4,True
305,расслышать,расслышу,расслышит,5,5,True
306,подыскивать,подыскиваю,подыскивает,1,1,True
307,очерствить,очерствлю,очерствит,4,4,True
308,смяться,сомнусь,сомнётся,14н,14н,True
309,псоветь,псовею,псовеет,1,1,True
310,доплывать,доплываю,доплывает,1,1,True
311,протезировать,протезирую,протезирует,2,2,True
312,пропаливать,пропаливаю,пропаливает,1,1,True
313,подрубать,подрубаю,подрубает,1,1,True
314,раскусить,раскушу,раскусит,4,4,True
315,почковаться,почкуюсь,почкуется,2,2,True
316,зарешечивать,зарешечиваю,зарешечивает,1,1,True
317,избавиться,избавлюсь,избавится,4,4,True
318,нагрузиться,нагружусь,нагрузится,4,4,True
319,оттесниться,оттеснюсь,оттеснится,4,4,True
320,ехидствовать,ехидствую,ехидствует,2,2,True
321,всколыхивать,всколыхиваю,всколыхивает,1,1,True
322,заглублять,заглубляю,заглубляет,1,1,True
323,заколотиться,заколочусь,заколотится,4,4,True
324,усыновлять,усыновляю,усыновляет,1,1,True
325,досажать,досажаю,досажает,1,1,True
326,сизеть,сизею,сизеет,1,1,True
327,обжевать,обжую,обжуёт,2,2,True
328,цыкнуть,цыкну,цыкнет,3,3,True
329,прохрапеть,прохраплю,прохрапит,5,5,True
330,искровенить,искровеню,искровенит,4,4,True
331,выхоливать,выхоливаю,выхоливает,1,1,True
332,подмалывать,подмалываю,подмалывает,1,1,True
333,топорщиться,топорщусь,топорщится,4,4,True
334,насортировывать,насортировываю,насортировывает,1,1,True
335,приоткрываться,приоткрываюсь,приоткрывается,1,1,True
336,перенестись,перенесусь,перенесётся,7с,7с,True
337,ветшать,ветшаю,ветшает,1,1,True
338,обкрутить,обкручу,обкрутит,4,4,True
339,лакировать,лакирую,лакирует,2,2,True
340,бороновать,бороную,боронует,2,2,True
341,раскабаляться,раскабаляюсь,раскабаляется,1,1,True
342,промокать,промокаю,промокает,1,1,True
343,перемуравливать,перемуравливаю,перемуравливает,1,1,True
344,охлопывать,охлопываю,охлопывает,1,1,True
345,заскакивать,заскакиваю,заскакивает,1,1,True
346,отмаршировать,отмарширую,отмарширует,2,2,True
347,попустительствовать,попустительствую,попустительствует,2,2,True
348,оттискивать,оттискиваю,оттискивает,1,1,True
349,отыграться,отыграюсь,отыграется,1,1,True
350,впятиться,впячусь,впятится,4,4,True
351,вымостить,вымощу,вымостит,4,4,True
352,приморозить,приморожу,приморозит,4,4,True
353,лобызать,лобызаю,лобызает,1,1,True
354,попрыгивать,попрыгиваю,попрыгивает,1,1,True
355,привыкнуть,привыкну,привыкнет,3,3,True
356,разъединяться,разъединяюсь,разъединяется,1,1,True
357,перепрясть,перепряду,перепрядёт,7д,7д,True
358,прокашлять,прокашляю,прокашляет,1,1,True
359,взбулгачить,взбулгачу,взбулгачит,4,4,True
360,распоясываться,распоясываюсь,распоясывается,1,1,True
361,нагуливать,нагуливаю,нагуливает,1,1,True
362,защипать,защиплю,защиплет,1,6,False
363,подпоить,подпою,подпоит,4,4,True
364,разминать,разминаю,разминает,1,1,True
365,позлорадствовать,позлорадствую,позлорадствует,2,2,True
366,хаять,хаю,хает,6,6,True
367,номеровать,номерую,номерует,2,2,True
368,запеленговать,запеленгую,запеленгует,2,2,True
369,припевать,припеваю,припевает,1,1,True
370,зажелтиться,зажелчусь,зажелтится,4,4,True
371,закрутить,закручу,закрутит,4,4,True
372,обеднеть,обеднею,обеднеет,1,1,True
373,перетачивать,перетачиваю,перетачивает,1,1,True
374,возместиться,возмещусь,возместится,4,4,True
375,отдирать,отдираю,отдирает,1,1,True
376,околевать,околеваю,околевает,1,1,True
377,учетверить,учетверю,учетверит,4,4,True
378,распределиться,распределюсь,распределится,4,4,True
379,звездануться,звезданусь,звезданётся,3,3,True
380,очертенеть,очертенею,очертенеет,1,1,True
381,громить,громлю,громит,4,4,True
382,компаундировать,компаундирую,компаундирует,2,2,True
383,привередничать,привередничаю,привередничает,1,1,True
384,гневить,гневлю,гневит,4,4,True
385,нахлебничать,нахлебничаю,нахлебничает,1,1,True
386,стучаться,стучусь,стучится,5,5,True
387,критиковать,критикую,критикует,2,2,True
388,перебазироваться,перебазируюсь,перебазируется,2,2,True
389,надувать,надуваю,надувает,1,1,True
390,прожираться,прожираюсь,прожирается,1,1,True
391,тратиться,трачусь,тратится,4,4,True
392,побродить,поброжу,побродит,4,4,True
393,распоряжаться,распоряжаюсь,распоряжается,1,1,True
394,отскрести,отскребу,отскребёт,7б,7б,True
395,интриговать,интригую,интригует,2,2,True
396,намиловаться,намилуюсь,намилуется,2,2,True
397,зажаться,зажмусь,зажмётся,14м,14м,True
398,увековечить,увековечу,увековечит,4,4,True
399,предохранять,предохраняю,предохраняет,1,1,True
400,наживлять,наживляю,наживляет,1,1,True
401,похлопывать,похлопываю,похлопывает,1,1,True
402,смерять,смеряю,смеряет,1,1,True
403,перепросить,перепрошу,перепросит,4,4,True
404,поинтриговать,поинтригую,поинтригует,2,2,True
405,залетать,залетаю,залетает,1,1,True
406,набальзамировать,набальзамирую,набальзамирует,2,2,True
407,вмораживать,вмораживаю,вмораживает,1,1,True
408,напечатлевать,напечатлеваю,напечатлевает,1,1,True
409,отрегулировать,отрегулирую,отрегулирует,2,2,True
410,слепнуть,слепну,слепнет,3,3,True
411,слить,солью,сольёт,11,11,True
412,защебетать,защебечу,защебечет,6,6,True
413,базарить,базарю,базарит,4,4,True
414,заземлить,заземлю,заземлит,4,4,True
415,вырывать,вырываю,вырывает,1,1,True
416,запроситься,запрошусь,запросится,4,4,True
417,взломать,взломаю,взломает,1,1,True
418,наглеть,наглею,наглеет,1,1,True
419,наморить,наморю,наморит,4,4,True
420,просмаливать,просмаливаю,просмаливает,1,1,True
421,разбороновывать,разбороновываю,разбороновывает,1,1,True
422,погрохотать,погрохочу,погрохочет,6,6,True
423,обчинить,обчиню,обчинит,4,4,True
424,градировать,градирую,градирует,2,2,True
425,балансировать,балансирую,балансирует,2,2,True
426,гаерствовать,гаерствую,гаерствует,2,2,True
427,шуметь,шумлю,шумит,5,5,True
428,обшарпаться,обшарпаюсь,обшарпается,1,1,True
429,усылать,усылаю,усылает,1,1,True
430,воззреть,воззрю,воззрит,5,5,True
431,сорвать,сорву,сорвёт,6,6,True
432,потолстеть,потолстею,потолстеет,1,1,True
433,повалить,повалю,повалит,4,4,True
434,рассчитать,рассчитаю,рассчитает,1,1,True
435,опечалиться,опечалюсь,опечалится,4,4,True
436,облиться,обольюсь,обольётся,11,11,True
437,подоткать,подотку,подоткёт,6,6,True
438,предлежать,предлежу,предлежит,5,5,True
439,протоколировать,протоколирую,протоколирует,2,2,True
440,вытрезвляться,вытрезвляюсь,вытрезвляется,1,1,True
441,обкрасить,обкрашу,обкрасит,4,4,True
442,упрашивать,упрашиваю,упрашивает,1,1,True
443,подевать,подеваю,подевает,1,1,True
444,заспиртовать,заспиртую,заспиртует,2,2,True
445,зачехлить,зачехлю,зачехлит,4,4,True
446,доизбирать,доизбираю,доизбирает,1,1,True
447,затеять,затею,затеет,6,6,True
448,рассуживать,рассуживаю,рассуживает,1,1,True
449,скрасться,скрадусь,скрадётся,7д,7д,True
450,выталкивать,выталкиваю,выталкивает,1,1,True
451,застопорить,застопорю,застопорит,4,4,True
452,проконспектировать,проконспектирую,проконспектирует,2,2,True
453,извергать,извергаю,извергает,1,1,True
454,хорониться,хоронюсь,хоронится,4,4,True
455,сполоснуть,сполосну,сполоснёт,3,3,True
456,укорениться,укоренюсь,укоренится,4,4,True
457,вымараться,вымараюсь,вымарается,1,1,True
458,профессионализировать,профессионализирую,профессионализирует,2,2,True
459,закольцевать,закольцую,закольцует,2,2,True
460,превозвышаться,превозвышаюсь,превозвышается,1,1,True
461,застыдиться,застыжусь,застыдится,4,4,True
462,успеть,успею,успеет,1,1,True
463,долбить,долблю,долбит,4,4,True
464,слямзить,слямжу,слямзит,4,4,True
465,посочувствовать,посочувствую,посочувствует,2,2,True
466,претвориться,претворюсь,претворится,4,4,True
467,поспеть,поспею,поспеет,1,1,True
468,возыметь,возымею,возымеет,1,1,True
469,выскальзывать,выскальзываю,выскальзывает,1,1,True
470,застраивать,застраиваю,застраивает,1,1,True
471,накутать,накутаю,накутает,1,1,True
472,укрепить,укреплю,укрепит,4,4,True
473,перепечься,перепекусь,перепечётся,8к,8к,True
474,рукоположить,рукоположу,рукоположит,4,4,True
475,подмерзать,подмерзаю,подмерзает,1,1,True
476,хватить,,,4,4,True
477,изгрызать,изгрызаю,изгрызает,1,1,True
478,наволочь,наволоку,наволочёт,8к,8к,True
479,отлететь,отлечу,отлетит,5,5,True
480,надушить,надушу,надушит,4,4,True
481,гримировать,гримирую,гримирует,2,2,True
482,закогтить,закогчу,закогтит,4,4,True
483,обкормить,обкормлю,обкормит,4,4,True
484,приостывать,приостываю,приостывает,1,1,True
485,впрыскивать,впрыскиваю,впрыскивает,1,1,True
486,затапливать,затапливаю,затапливает,1,1,True
487,помрачать,помрачаю,помрачает,1,1,True
488,завьючивать,завьючиваю,завьючивает,1,1,True
489,выкапывать,выкапываю,выкапывает,1,1,True
490,затиснуть,затисну,затиснет,3,3,True
491,истощать,истощаю,истощает,1,1,True
492,искормить,искормлю,искормит,4,4,True
493,разровнять,разровняю,разровняет,1,1,True
494,отупеть,отупею,отупеет,1,1,True
495,добрести,добреду,добредёт,7д,7д,True
496,высказываться,высказываюсь,высказывается,1,1,True
497,припудрить,припудрю,припудрит,4,4,True
498,подстрагивать,подстрагиваю,подстрагивает,1,1,True
499,оглашать,оглашаю,оглашает,1,1,True
500,родиться,рожусь,родится,4,4,True
501,увести,уведу,уведёт,7д,7д,True
502,доволочься,доволокусь,доволочётся,8к,8к,True
503,истолковать,истолкую,истолкует,2,2,True
504,отпроситься,отпрошусь,отпросится,4,4,True
505,секвестровать,секвеструю,секвеструет,2,2,True
506,шоркать,шоркаю,шоркает,1,1,True
507,засипеть,засиплю,засипит,5,5,True
508,прокрадываться,прокрадываюсь,прокрадывается,1,1,True
509,копировать,копирую,копирует,2,2,True
510,прифабрить,прифабрю,прифабрит,4,4,True
511,ужиматься,ужимаюсь,ужимается,1,1,True
512,искурить,искурю,искурит,4,4,True
513,ощетиниться,ощетинюсь,ощетинится,4,4,True
514,своротить,сворочу,своротит,4,4,True
515,миновать,миную,минует,2,2,True
516,танцевать,танцую,танцует,2,2,True
517,зажиреть,зажирею,зажиреет,1,1,True
518,заржаветь,заржавею,заржавеет,1,1,True
519,спороться,спорюсь,спорется,10ор,10ор,True
520,исстираться,исстираюсь,исстирается,1,1,True
521,рассекречивать,рассекречиваю,рассекречивает,1,1,True
522,спеть,спою,споёт,12петь,12петь,True
523,мучаться,мучаюсь,мучается,1,1,True
524,упоминать,упоминаю,упоминает,1,1,True
525,виниться,винюсь,винится,4,4,True
526,подпрягать,подпрягаю,подпрягает,1,1,True
527,размокропогодиться,размокропогожусь,размокропогодится,4,4,True
528,подгадывать,подгадываю,подгадывает,1,1,True
529,рваться,рвусь,рвётся,6,6,True
530,уцеживаться,уцеживаюсь,уцеживается,1,1,True
531,позевать,позеваю,позевает,1,1,True
532,расшататься,расшатаюсь,расшатается,1,1,True
533,заготовлять,заготовляю,заготовляет,1,1,True
534,прокраситься,прокрашусь,прокрасится,4,4,True
535,умножаться,умножаюсь,умножается,1,1,True
536,нацеливать,нацеливаю,нацеливает,1,1,True
537,застреливаться,застреливаюсь,застреливается,1,1,True
538,настрочить,настрочу,настрочит,4,4,True
539,натратить,натрачу,натратит,4,4,True
540,мертвить,мертвлю,мертвит,4,4,True
541,угрызаться,угрызаюсь,угрызается,1,1,True
542,пересказывать,пересказываю,пересказывает,1,1,True
543,выявиться,выявлюсь,выявится,4,4,True
544,плюхнуть,плюхну,плюхнет,3,3,True
545,поковырять,поковыряю,поковыряет,1,1,True
546,повизжать,повизжу,повизжит,5,5,True
547,пропотеть,пропотею,пропотеет,1,1,True
548,забрызгиваться,забрызгиваюсь,забрызгивается,1,1,True
549,оплодотворять,оплодотворяю,оплодотворяет,1,1,True
550,постираться,постираюсь,постирается,1,1,True
551,намешивать,намешиваю,намешивает,1,1,True
552,прорыскать,прорыщу,прорыщет,1,6,False
553,сплестись,сплетусь,сплетётся,7т,7т,True
554,стасовать,стасую,стасует,2,2,True
555,посчастливиться,,,4,4,True
556,социализироваться,социализируюсь,социализируется,2,2,True
557,погостить,погощу,погостит,4,4,True
558,фашиствовать,фашиствую,фашиствует,2,2,True
559,подзубрить,подзубрю,подзубрит,4,4,True
560,затейничать,затейничаю,затейничает,1,1,True
561,подплясывать,подплясываю,подплясывает,1,1,True
562,перечить,перечу,перечит,4,4,True
563,прошпиговывать,прошпиговываю,прошпиговывает,1,1,True
564,косматить,космачу,косматит,4,4,True
565,сожрать,сожру,сожрёт,6,6,True
566,сереться,сереюсь,сереется,1,1,True
